0723ug6nP3k-00001 |,[music],| [music]
0723ug6nP3k-00002 |,[music],| [music]
0723ug6nP3k-00003 |,[applause],| [applause]
0723ug6nP3k-00004 |,[applause],| [applause]
0723ug6nP3k-00005 |,i want to thank you very much,| i want to thank you very much
0723ug6nP3k-00006 |,[music],| [music]
0723ug6nP3k-00007 |,[applause],| [applause]
0723ug6nP3k-00008 |,in the great city of charlotte we're by,| in the great city of charlotte we're by
0723ug6nP3k-00009 |,the way we're having our convention i,| the way we're having our convention i
0723ug6nP3k-00010 |,guess you heard that bro with thousands,| guess you heard that bro with thousands
0723ug6nP3k-00011 |,of hardworking american patriots who,| of hardworking american patriots who
0723ug6nP3k-00012 |,love our country cherish your values,| love our country cherish your values
0723ug6nP3k-00013 |,respect our laws and always put america,| respect our laws and always put america
0723ug6nP3k-00014 |,first,| first
0723ug6nP3k-00015 |,eight months from now we're going to,| eight months from now we're going to
0723ug6nP3k-00016 |,defeat the radical socialists we're,| defeat the radical socialists we're
0723ug6nP3k-00017 |,going to win the great state of north,| going to win the great state of north
0723ug6nP3k-00018 |,carolina in a landslide,| carolina in a landslide
0723ug6nP3k-00019 |,we want it last time we're gonna win it,| we want it last time we're gonna win it
0723ug6nP3k-00020 |,this time by even more and you know erik,| this time by even more and you know erik
0723ug6nP3k-00021 |,and laura named their daughter you know,| and laura named their daughter you know
0723ug6nP3k-00022 |,what her name is carolina carolina,| what her name is carolina carolina
0723ug6nP3k-00023 |,her name is carolina fer reason this is,| her name is carolina fer reason this is
0723ug6nP3k-00024 |,an incredible time for our nation our,| an incredible time for our nation our
0723ug6nP3k-00025 |,country is stronger than ever before and,| country is stronger than ever before and
0723ug6nP3k-00026 |,today we just had the largest one-day,| today we just had the largest one-day
0723ug6nP3k-00027 |,increase in the stock market in history,| increase in the stock market in history
0723ug6nP3k-00028 |,that's great,| that's great
0723ug6nP3k-00029 |,that was great you know our opponents,| that was great you know our opponents
0723ug6nP3k-00030 |,were said oh maybe he said sure maybe,| were said oh maybe he said sure maybe
0723ug6nP3k-00031 |,the economy they'll do anything they'll,| the economy they'll do anything they'll
0723ug6nP3k-00032 |,do anything i'm sure they were thrilled,| do anything i'm sure they were thrilled
0723ug6nP3k-00033 |,do you think our opponents were thrilled,| do you think our opponents were thrilled
0723ug6nP3k-00034 |,when they saw the stock market today i,| when they saw the stock market today i
0723ug6nP3k-00035 |,don't,| don't
0723ug6nP3k-00036 |,by the way look at this look back there,| by the way look at this look back there
0723ug6nP3k-00037 |,look at all of that press,| look at all of that press
0723ug6nP3k-00038 |,[applause],| [applause]
0723ug6nP3k-00039 |,i don't know sleepy joe or bernie i,| i don't know sleepy joe or bernie i
0723ug6nP3k-00040 |,don't think they have that much press,| don't think they have that much press
0723ug6nP3k-00041 |,bernie was going wild why would i be,| bernie was going wild why would i be
0723ug6nP3k-00042 |,here tonight why would i be here he said,| here tonight why would i be here he said
0723ug6nP3k-00043 |,why would i be here tonight we don't,| why would i be here tonight we don't
0723ug6nP3k-00044 |,have the primary we've already won the,| have the primary we've already won the
0723ug6nP3k-00045 |,thing you know i was gonna say that you,| thing you know i was gonna say that you
0723ug6nP3k-00046 |,know what thing i said i held it back,| know what thing i said i held it back
0723ug6nP3k-00047 |,because they'll say horrible language he,| because they'll say horrible language he
0723ug6nP3k-00048 |,used horrible language today but we were,| used horrible language today but we were
0723ug6nP3k-00049 |,doing fantastically there's never been a,| doing fantastically there's never been a
0723ug6nP3k-00050 |,time where the republican party was so,| time where the republican party was so
0723ug6nP3k-00051 |,unified as it is now,| unified as it is now
0723ug6nP3k-00052 |,and you know you hear about enthusiasm,| and you know you hear about enthusiasm
0723ug6nP3k-00053 |,for crazy burning and that's true he,| for crazy burning and that's true he
0723ug6nP3k-00054 |,does have some enthusiasm but much less,| does have some enthusiasm but much less
0723ug6nP3k-00055 |,than we have and a much smaller group of,| than we have and a much smaller group of
0723ug6nP3k-00056 |,people - and there's not a lot of,| people - and there's not a lot of
0723ug6nP3k-00057 |,enthusiasm for is not a lot of,| enthusiasm for is not a lot of
0723ug6nP3k-00058 |,enthusiasm for biden,| enthusiasm for biden
0723ug6nP3k-00059 |,[applause],| [applause]
0723ug6nP3k-00060 |,i thought he gave up the presidency the,| i thought he gave up the presidency the
0723ug6nP3k-00061 |,other day because he said he's running,| other day because he said he's running
0723ug6nP3k-00062 |,for the senate i looked at the first,| for the senate i looked at the first
0723ug6nP3k-00063 |,lady i said hey he's running for the,| lady i said hey he's running for the
0723ug6nP3k-00064 |,senate and today he just said super,| senate and today he just said super
0723ug6nP3k-00065 |,thursday he's looking forward to super,| thursday he's looking forward to super
0723ug6nP3k-00066 |,thursday jobs are booming in our country,| thursday jobs are booming in our country
0723ug6nP3k-00067 |,incomes is soaring,| incomes is soaring
0723ug6nP3k-00068 |,poverty is plumbing confidence is,| poverty is plumbing confidence is
0723ug6nP3k-00069 |,surging and we have completely rebuilt,| surging and we have completely rebuilt
0723ug6nP3k-00070 |,the awesome power of a thing called the,| the awesome power of a thing called the
0723ug6nP3k-00071 |,united states military,| united states military
0723ug6nP3k-00072 |,and every day for me and for you it's,| and every day for me and for you it's
0723ug6nP3k-00073 |,promises made promises kept every day,| promises made promises kept every day
0723ug6nP3k-00074 |,one of the most important promises i,| one of the most important promises i
0723ug6nP3k-00075 |,made is right to this era you know we,| made is right to this era you know we
0723ug6nP3k-00076 |,look at it it's the never ending wars in,| look at it it's the never ending wars in
0723ug6nP3k-00077 |,the middle east we're taking our,| the middle east we're taking our
0723ug6nP3k-00078 |,soldiers we're bringing a back home,| soldiers we're bringing a back home
0723ug6nP3k-00079 |,we're not law enforcement,| we're not law enforcement
0723ug6nP3k-00080 |,we're bringing it back home american,| we're bringing it back home american
0723ug6nP3k-00081 |,troops cannot be the policemen for the,| troops cannot be the policemen for the
0723ug6nP3k-00082 |,world or to create democracy and other,| world or to create democracy and other
0723ug6nP3k-00083 |,nations that frankly probably don't want,| nations that frankly probably don't want
0723ug6nP3k-00084 |,it the job of the american military is,| it the job of the american military is
0723ug6nP3k-00085 |,to secure and defend our country,| to secure and defend our country
0723ug6nP3k-00086 |,two days ago the united states signed a,| two days ago the united states signed a
0723ug6nP3k-00087 |,deal with the taliban so that after 19,| deal with the taliban so that after 19
0723ug6nP3k-00088 |,years of conflict and very close to 20,| years of conflict and very close to 20
0723ug6nP3k-00089 |,we can finally begin to bring our,| we can finally begin to bring our
0723ug6nP3k-00090 |,amazing troops back home,| amazing troops back home
0723ug6nP3k-00091 |,after years of rebuilding foreign,| after years of rebuilding foreign
0723ug6nP3k-00092 |,nations we are finally rebuilding our,| nations we are finally rebuilding our
0723ug6nP3k-00093 |,nation and taking care of our own,| nation and taking care of our own
0723ug6nP3k-00094 |,american citizens,| american citizens
0723ug6nP3k-00095 |,and all of the things that we've done,| and all of the things that we've done
0723ug6nP3k-00096 |,we've wiped out terrorists we've done,| we've wiped out terrorists we've done
0723ug6nP3k-00097 |,that so much and you know what we're,| that so much and you know what we're
0723ug6nP3k-00098 |,"8,000 miles away you had a lot of big","| 8,000 miles away you had a lot of big"
0723ug6nP3k-00099 |,countries surrounding afghanistan you've,| countries surrounding afghanistan you've
0723ug6nP3k-00100 |,got afghanistan itself the progress that,| got afghanistan itself the progress that
0723ug6nP3k-00101 |,was made was made possible by the,| was made was made possible by the
